"latitude","longitude","depth","mag"
35.6563333,-117.4423333,1.63,1.6
35.6765,-117.5193333,7.62,1.18
35.6723333,-117.5428333,7.97,0.33
36.0983333,-117.8606667,3.93,0.77
35.5583333,-117.433,3.99,1.74
33.313,-116.2796667,8.84,0.84
35.8271667,-117.6588333,6.15,0.52
38.8325005,-122.8121643,2.02,0.77
35.8456667,-117.6468333,2.85,0.78
36.027,-117.7301667,2.16,0.58
38.8226662,-122.7928314,2.58,1.04
35.6518333,-117.4796667,8.68,0.47
35.652,-117.4423333,2.49,0.65
36.0851667,-117.8555,5.05,0.1
35.9133333,-117.7343333,10.51,0.6
38.8328323,-122.8118362,2.03,1.08
38.833168,-122.8113327,1.89,1.35
36.6471667,-121.27,8.27,1.19
38.836834,-122.8096695,2,0.76
38.8354988,-122.8131638,1.78,0.56
38.8358345,-122.8121643,1.38,0.97
38.833168,-122.8118362,1.7,0.89
38.8365,-122.8101667,2.1,2.75
38.8216667,-122.8453369,2.19,0.19
36.1113333,-121.591,12.32,1.45
37.4151667,-121.7613333,5.56,0.67
37.3163333,-120.0326667,6.47,1.11
36.1335,-117.8891667,2.3,0.71
38.8378334,-122.8368301,1.87,0.7
36.0531667,-117.8515,1.91,1.28
35.7655,-117.5863333,7.66,0.69
35.6303333,-117.4795,2.92,1.09
38.8214989,-122.7946701,2.5,2.14
35.7756667,-117.5753333,6.28,0.23
35.821,-117.6583333,8.04,0.74
36.0993333,-117.8528333,3.02,1.51
33.5901667,-116.8051667,5.28,0.51
34.3251667,-119.223,5.33,1.57
37.705,-118.8293333,5.08,0.47
41.8726666666667,-122.545833333333,3.77,1.85
36.0981667,-117.8578333,3.03,1.38
33.7625,-116.9171667,12.19,1.06
35.7435,-117.5091667,3.71,1.25
35.9283333,-117.222,6.64,1.25
35.556,-118.4171667,2.78,1.96
33.5855,-116.8135,3.42,1.9
37.9471664,-122.0668335,4.77,1.17
35.6778333,-117.526,9.8,1.16
35.9085,-117.6773333,9.92,0.11
33.518,-116.5253333,2.41,0.87
35.6763333,-117.5265,9.17,2.18
35.7766667,-117.5863333,6.51,0.68
33.6743333,-116.7788333,12.54,0.69
35.575,-117.411,7.78,1.73
37.633,-118.882,0.07,0.65
36.651001,-121.2661667,5.86,1.71
35.9578333,-117.7066667,2.03,1.45
38.7948341,-122.7856674,3.71,0.69
37.6128333,-118.825,2.6,0.26
35.6148333,-117.4318333,2.96,1.26
35.8293333,-117.6755,7.22,0.72
37.7664986,-121.9688339,9.79,1.58
33.5115,-116.5546667,13.49,0.41
35.6611667,-117.445,3.53,0.98
38.8204994,-122.7671661,1.76,1.16
35.6753333,-117.5223333,8.71,0.74
35.7016667,-117.5315,0.81,1.31
35.8876667,-117.6768333,4.24,0.49
35.7098333,-117.5068333,4.64,0.32
33.6806667,-116.7513333,16.37,1.34
38.8393326,-122.7850037,1.1,0.68
35.6745,-117.5033333,10.03,1.18
35.6658333,-119.2726667,26.58,2.23
35.6778333,-117.5236667,8.04,0.8
35.6773333,-117.5285,9.28,0.95
35.9163333,-117.7525,9.36,0.63
33.5035,-116.7848333,7.02,0.45
35.674,-117.5286667,8.51,2.16
35.6758333,-117.5236667,9.51,3.51
33.6876667,-116.7511667,17.31,0.75
35.0995,-118.174,8.53,1.13
35.6405,-117.4566667,2.64,1.2
35.9673333,-117.578,6.68,0.66
35.6803333,-117.4698333,2.09,0.87
35.3616667,-117.8331667,4.1,0.79
35.903,-117.6856667,1.79,0.52
36.6175003,-121.2828369,7.82,2.14
34.267,-117.4541667,11.58,1.05
34.5763333,-116.2525,2.81,1.41
34.268,-117.453,9.96,2.97
33.6018333,-116.8033333,4.85,0.16
35.9113333,-117.7055,5.3,0.48
33.5911667,-116.8008333,4.92,0.38
33.3173333,-116.3175,10.37,0.8
33.3218333,-116.3251667,11.75,0.29
33.3195,-116.3265,11.83,0.56
33.3175,-116.3148333,10.41,0.69
33.4118333,-116.3473333,12.75,1.44
34.2191667,-117.4278333,10.46,0.79
33.3163333,-116.3401667,9.98,1.2
33.762,-116.9193333,12.81,0.95
33.763,-116.9211667,13.31,1.02
36.072,-117.8443333,1.95,0.77
35.6738333,-117.528,8.5,1.66
38.7818336,-122.7448349,0.83,1.21
35.6866667,-117.5381667,6.43,1.2
35.7913333,-117.6103333,4.68,0.8
33.2206667,-116.7328333,11.25,0.48
35.763,-117.5878333,3.35,0.91
33.8653333,-117.733,8.21,1.35
36.6213341,-121.2343369,6.2,1.56
35.9113333,-117.709,2.8,0.84
35.6451667,-117.5866667,8.31,0.69
36.0983333,-117.857,3.81,0.77
38.8144989,-122.8208313,0.73,0.88
35.5778333,-117.3968333,8.17,1.57
35.6006667,-118.3066667,8.4,1.29
33.4098333,-116.3261667,13.9,0.56
40.5433333,-121.6626667,16.86,0.72
35.6511667,-117.4735,8.75,0.78
36.0993333,-117.8576667,2.81,1.15
35.6856667,-117.5343333,4.65,0.75
34.0225,-116.3218333,8.96,1.13
34.1603333,-116.4248333,8.92,1.16
35.6076667,-117.3963333,2.92,1.48
38.8461685,-122.7798309,0.77,0.57
32.8023333,-115.576,7.58,1.1
32.8225,-115.5741667,18.26,1.08
32.8113333,-115.5768333,11.96,1.41
38.814167,-122.8066635,1,1.24
38.8138351,-122.8085022,1.31,0.61
35.8558333,-117.6918333,7.05,0.47
34.1181667,-117.4696667,10.97,1.15
36.9785,-117.8822,15.5,0.5
35.8405,-117.7311667,5.67,0.74
33.2243333,-116.7406667,11.48,0.92
35.8865,-117.6963333,9.48,0.31
35.6641667,-117.4888333,2.88,0.63
38.8149986,-122.8201675,2.93,1.06
35.9148333,-117.7096667,2.75,0.93
35.5168333,-118.333,2.18,1.27
33.4855,-116.7998333,5.31,0.82
35.6621667,-117.4441667,4.47,1.44
35.9146667,-117.6803333,4.09,0.42
33.4876667,-116.453,8.37,0.6
36.4746666,-121.003334,-0.63,1.57
35.6883333,-117.4798333,4.18,0.9
33.597,-116.8046667,4.6,0.58
38.8193321,-122.8078308,3.03,1.25
35.9656667,-117.7058333,9.69,0.54
36.096,-117.8691667,1.53,1.07
35.6701667,-117.4711667,2.06,1.59
37.6235,-118.841,6.66,0.09
33.2235,-116.741,10.26,0.68
33.2248333,-116.7441667,7.83,2.1
35.6013333,-118.302,7.71,1.31
33.1603333,-116.4601667,12.7,1.01
35.6435,-117.454,6.32,1.68
35.8763333,-117.6963333,2.42,0.49
38.7458344,-122.9101639,6.28,2.24
35.3575,-117.7878333,1.78,1.26
33.4843333,-116.8883333,11.93,0.9
34.0846667,-117.2853333,13.29,1.72
35.8835,-117.6898333,2.73,0.2
35.829,-117.6488333,6.88,0.65
35.6116667,-117.4458333,6.38,1.06
36.0365,-117.8403333,4.52,0.04
38.8201675,-122.8081665,2.91,1.32
35.696,-117.5336667,10.76,0.2
35.7038333,-117.5246667,8.9,0.45
32.6373333,-116.9633333,-0.36,1.42
33.4376667,-116.846,12.85,0.6
33.5788333,-116.8088333,5.28,0.86
33.5866667,-116.8058333,5.01,0.37
35.9578333,-117.6805,0.63,1.05
33.229,-116.73,9.9,0.6
33.4915,-116.7905,6.16,0.59
33.587,-116.8095,5.98,0.69
36.4683342,-121.0128326,6.18,1.78
35.6933333,-117.5268333,4.61,1.1
35.531,-117.3981667,8.95,1.35
36.6461667,-121.2623333,5.7,2.23
34.8563333,-118.7895,-1.17,1.01
36.1016667,-117.8633333,2.74,1.37
35.6781667,-117.518,7.14,0.79
35.994,-117.5638333,1.67,1.01
36.1005,-117.8613333,2.88,1.48
35.6406667,-117.4835,9.52,0.66
33.7163333,-116.7618333,15.4,1.04
38.7948341,-122.7710037,0.49,1.07
36.586834,-121.4126663,1.94,1.72
33.589,-116.8086667,5.24,1.09
33.5908333,-116.8065,5.63,0.02
38.8253326,-122.7959976,2.47,0.82
38.5221667,-122.2915,8.27,0.8
35.6653333,-117.4646667,4.51,1.15
35.8608333,-117.6555,13.75,0.61
33.5735,-116.6388333,11.49,0.54
36.0406667,-117.4933333,3.74,0.1
35.8905,-117.7153333,8.32,0.74
35.8941667,-117.7393333,6.38,1.18
35.6591667,-117.5265,6.9,0.07
35.8483333,-117.6821667,10.22,0.45
35.8616667,-117.7028333,6.92,0.73
33.3558333,-116.3631667,11.55,1.74
33.223,-116.7306667,11.59,0.66
33.6003333,-116.624,14.36,0.58
33.469,-116.5721667,11.79,-0.04
37.6666667,-118.8533333,-0.73,0.33
35.642,-117.4811667,8.88,0.88
35.1523333,-118.3998333,-0.74,0.99
40.2395,-123.0345,42.04,2.72
33.588,-116.8031667,4.69,0.65
35.6713333,-117.4733333,10.74,1.56
38.7939987,-122.7320023,2.02,0.59
33.5826667,-116.8113333,4.74,1.34
35.8328333,-117.6541667,4.18,0.86
35.8641667,-117.6825,5.45,0.74
38.836834,-122.82267,0.63,0.57
33.7053333,-116.7188333,17.4,0.53
35.8485,-117.6708333,9.19,0.33
35.8543333,-117.6793333,7.08,0.37
36.0224991,-120.5858307,1.8,1.37
35.6898333,-117.4965,6.79,0.46
39.7541,-120.6334,6.2,0.5
32.8656667,-116.0221667,9.31,1.35
33.3296667,-116.4065,7.38,1.01
36.4703333,-121.0385,7.87,0.97
36.6436667,-121.2693333,5.89,0.83
33.481,-116.795,6.18,0.14
35.7038333,-117.5141667,6.45,1.25
38.7915001,-122.783165,3.11,0.7
33.672,-116.7031667,14.07,0.51
36.8785,-117.7733,1.1,0.9
35.8523333,-117.6886667,6.38,0.78
37.4278333,-118.661,7.54,1.18
33.2245,-116.7346667,10.77,0.56
36.0986667,-117.864,3.04,0.75
35.8968333,-117.6991667,1.8,0.57
35.5075,-118.388,7.82,1.25
38.8266678,-122.7965012,2.75,0.55
40.2591667,-121.3418333,3.35,1.09
35.7771667,-117.6011667,3.67,1.91
35.8508333,-117.687,2.96,0.64
33.463,-116.502,13.07,0.84
33.4631667,-116.5065,14.41,0.96
36.6209984,-121.2276688,5.81,1.47
33.4616667,-116.5006667,12.91,0.34
35.87,-117.6971667,10.39,0.67
35.8531667,-117.6855,4.96,1.06
35.7808333,-117.6451667,6.33,1.98
36.1213333,-117.858,2.19,1.16
38.7946663,-122.7699966,-0.41,1.77
35.8993333,-117.6836667,9.35,0.78
35.8451667,-117.6696667,2.69,0.33
